"FAWN Station","Period","2m T avg (F)","2m T min (F)","2m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","10m Wind avg (mph)","10m Wind min (mph)","10m Wind max (mph)","WDir avg10m  (deg)","BP avg (mb)","N (# obs)","2m WetBulb (F)"
"Apopka","1 Jan 2022","73.4","66.4","82.4","72.59","70.05","75.51","65.34","78","0","0","156.5","4.29","0","17.83","196","1014","96","67.97"
"Apopka","2 Jan 2022","73.41","67.06","81.93","73.3","71.33","76.21","68.16","84","0","0","124.04","5.42","0.13","18.36","221","1013","96","69.8"
"Apopka","3 Jan 2022","61.63","47.97","71.69","71.53","68.76","73.78","50.1","68","0.03","0.03","178.06","9.36","0.43","28.5","309","1016","96","55.06"
"Apopka","4 Jan 2022","58.21","43.94","72.05","67.77","64.67","70.65","51.42","80","0","0","144.97","5.12","0.05","16.96","39","1019","96","54.32"
"Apopka","5 Jan 2022","62.97","54.84","74.03","68.73","66.36","71.55","58.64","87","0","0","116.53","4.12","0.02","14.23","353","1014","96","60.27"
"Apopka","6 Jan 2022","60.95","51.1","71.62","68.74","65.89","71.56","51.64","74","0","0","164.96","3.28","0","22.12","312","1013","96","55.57"
"Apopka","7 Jan 2022","64.25","52.02","73.38","69.54","67.59","72","56.9","77","0.01","0.01","153.47","5.32","0.09","17.34","348","1017","96","59.73"
"Apopka","8 Jan 2022","62.67","49.24","76.87","68.35","65.12","71.83","54.86","77","0","0","179.11","5.97","0.56","20.45","77","1024","96","57.98"
"Apopka","9 Jan 2022","69.15","58.66","81.99","69.71","66.74","73.06","62.49","81","0","0","132.61","4.81","0.02","22.15","121","1023","96","64.8"
"Apopka","10 Jan 2022","66.62","57.13","76.5","70.59","68.63","72.39","62.79","88","0.01","0.01","107.15","6.08","0","22.5","299","1020","96","64.12"
